reading	hanri	priority	corrected	english
앙머4	紅毛	1		Western; Caucasian
앙머교4	紅毛橋	1		Ang Mo Kio
앙솰1	紅山	1		Bukit Merah
앟	鴨	1		duck
앟1빻	鴨肉	1		duck meat
애	愛	2		love
애2띤4	愛人	1		lover; spouse
애2졩4	愛情	1		love; romance
야5	夜	1		night
야더치5	夜都市	1		night city
얄2	影	1		shadow; image
얌4	鹽	1		salt
어1	烏	1		black
어2	挖	2		dig
어4	胡	3		Hu; foreign
어5령4	烏龍	1		oolong
어5령데4	烏龍茶	1		oolong tea
어5벻1	烏白	1		wrongly; randomly
어5벻겅2	烏白講	1		talk nonsense
어5임1	烏陰	1		dark; gloomy
엉1수5	往事	1		past events
엉1엉2	往往	1		often
엉2	往	1		toward; past
엉4	王	1		king; Wang
엉주2	王子	1		prince
엉허5	王后	1		queen
에4	个	1		individual; classifier
에5	下	2		below; under; next
에5	下	1		below; under; next
에믕4	廈門	1		Xiamen (Amoy)
에흥1	下昏	1		dusk; evening
영1키	勇氣	1		courage
영2	勇	2		brave
영5	用	1		use
옌ᄃᅷ4	緣投	1		handsome
옝1완2	永遠	1		forever
옝1춘1	永春	1		Yongchun
옝5	用	1		use
옝5걱	英國	1		United Kingdom; Britain
옿1	學	1		study; learn
완	怨	1		resent; complain
완2키	怨氣	1		resentment
완2탄	怨嘆	1		to sigh; to lament
완탄1	雲吞	1		wonton
완탄5미5	雲吞麵	1		wonton noodles
왇람4	越南	1		Vietnam
왇람랑4	越南人	1		Vietnamese person
왈	晏	1		late
왈1궤2	碗粿	1		bowl rice cake; wa kueh
왈2	碗	1		bowl
왈2ᄀᅷ	晏到	1		arrive late
왛1	活	1		live; alive
외2	矮	1		short
외4	鞋	1		shoe
우5	譽	1		praise; reputation
우시4	우時	1		sometimes
우얄2	우影	1		real; tangible
우얄2’뽀4	우影’뽀ˊ	1		is it for real
운5	運	1		luck; transport
운덩5	運動	1		exercise; sport
욷1줃	鬱卒	1		depressed; frustrated
웨5	話	1		speech; words
위5	為	1		for; because of
유1	憂	2		worry; sorrow
유1ᄒᅷ	有孝	1		filial
유2	友	1		friend
유2미5	幼麵	1		thin noodles
유4	油	1		oil
유5셩1	憂傷	1		sorrowful
유ᄀᅷ	油垢	1		greasy dirt
유ᄀᅷ2ᄀᅷ	油垢垢	1		very greasy
유ᄀᅷ2삐5	油垢味	1		greasy taste
유디4	油池	1		Yew Tee
율4	羊	1		goat; sheep
율4	洋	2		ocean; foreign
음둏1	음著	1		not right; wrong
음시5	음시ˉ	1		is not
응4	黃	1		yellow; Huang
이	意	2		meaning; intention
이1곙1	已經	1		already
이1ᄅᆤ4	椅條	1		wooden bench
이2끼5	意義	1		meaning; significance
이2수	意思	1		meaning; idea
이4	姨	3		aunt
인2	引	1		lead; pull
인2더5	印度	1		India
인2더랑4	印度人	1		Indian person
인5위5	因為	1		because
읻	一	2		one
읻1뎽2	一等	1		first-class
읻1뎽5	一定	1		certainly; definitely
읻1솅1	一生	1		whole life
임1	音	1		sound
임1	陰	1		yin; cloudy; hidden
임5깍1	音樂	1		music
ᄋᅷ5	後	1		after; behind
ᄋᅷ강2	後港	1		Hougang
ᄋᅷ붸2	後尾	1		behind; later
ᄋᆤ2긴2	要緊	1		important; urgent
자1키2	早起	1		morning; get up early
자2	早	1		early
자5뻐2	자ˉ뻐ˋ	1		woman
잔1	曾	1		once; Zeng
잔4	層	1		layer; floor
잗	節	1		festival; section
잡1	十	1		ten
잡꺼5	十五	1		fifteen
잡커1	十箍	1		ten dollars
장	粽	1		rice dumpling
재1	知	1		know
재5얄2	知影	1		know
쟘1	尖	1		sharp; pointed
쟘5ᄐᅷ4	尖頭	1		pointed head
쟘5ᄐᅷ또디1	尖頭또디ˆ	1		pointed head
쟝5쥬1	漳州	1		Zhangzhou
쟣1	食	1		eat
쟣미5	食麵	1		eat noodles
쟣바2	食飽	1		eat until full
